folder_name,camera_x,camera_y,camera_z,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
CapturedFrames_-1.0_1.5_-5.0,-1.0,1.5,-5.0,26.295416346712102,27.28729107258954,61.909958693538584,57.9099506679097,41.50023051582985,43.35076326020521,73.06635702378497,38.620022554831564
CapturedFrames_-1.0_1.5_-6.0,-1.0,1.5,-6.0,34.26423932642493,24.130645382629325,57.58827554182096,54.057102271366375,37.63950095172437,41.92242818896642,57.76606814430687,30.915972984275115
CapturedFrames_-1.0_1.5_3.0,-1.0,1.5,3.0,54.21517042351334,57.17611894940019,77.154093900705,49.55846357452786,46.52828338354861,52.234486566675706,68.88031697691002,49.00307385052078
CapturedFrames_-1.0_1.5_4.0,-1.0,1.5,4.0,49.21365599649204,56.224810289688506,81.58155469024629,55.116285116127514,44.89841475624003,45.72013993704484,51.61957803373127,45.85459327869694
CapturedFrames_-1.0_1.5_5.0,-1.0,1.5,5.0,50.30675588163783,61.093047719532294,52.45370508780988,42.577174848787024,46.58427386153744,43.634250756067054,44.89783384257831,47.6316180662062
CapturedFrames_-1.0_1.5_6.0,-1.0,1.5,6.0,51.996270791955396,49.856737235366936,44.74424144201811,42.40992054361088,43.873147033206806,50.787623279539254,50.42067751637775,46.783977091047575
CapturedFrames_-2.0_0.5_-3.0,-2.0,0.5,-3.0,41.003930713203815,22.190977226937463,50.85035773718657,70.8567674309179,63.932853887191285,48.24711642080233,53.28143510103608,67.52008721147875
CapturedFrames_-2.0_0.5_-4.0,-2.0,0.5,-4.0,33.149122137291855,23.20693460640632,51.414288702455806,63.3473732431476,52.35143830719882,50.81712947068529,56.13877821269271,61.17253839551131
CapturedFrames_-2.0_0.5_-5.0,-2.0,0.5,-5.0,40.119945042288634,21.309852374857655,57.19422926954155,54.966481899611225,57.67652473339162,45.61192104178171,53.88021056872178,47.26221907596788
CapturedFrames_-2.0_0.5_-6.0,-2.0,0.5,-6.0,37.71666431751906,19.308237582893526,29.73887769169906,52.67766551754272,54.757042601238645,46.203061407071246,52.170004332276264,43.36675196323955
CapturedFrames_-2.0_0.5_3.0,-2.0,0.5,3.0,140.13104487446202,56.34252834901257,52.326913789193554,44.69325928960136,100.77759704930236,57.10835865930236,61.34199098882772,66.67452358502592
CapturedFrames_-2.0_0.5_4.0,-2.0,0.5,4.0,31.63012265186873,50.776831595118196,45.07543749647466,49.99271033795988,48.21937103673566,60.37612946919182,57.53430117517975,65.55941945456172
CapturedFrames_-2.0_0.5_5.0,-2.0,0.5,5.0,34.96768747916005,52.77094565064242,39.60680469479884,56.36049087616054,36.80211520045188,57.461021542661214,51.986009494325074,67.36746333945212
CapturedFrames_-2.0_0.5_6.0,-2.0,0.5,6.0,37.836889325833425,35.698416670677545,37.214054863736976,28.756244579049252,38.26844519584721,48.547274638125785,48.77335218444534,41.32967091033116
CapturedFrames_-2.0_1.5_-3.0,-2.0,1.5,-3.0,35.7318215614101,20.925704389767333,58.5418123355591,73.73223058699713,41.976498145029815,46.087921977735014,72.09001280839674,33.78456848222345
CapturedFrames_-2.0_1.5_-4.0,-2.0,1.5,-4.0,30.49435205772484,24.49777008201778,76.84516503550446,72.80729778405119,46.69726556425769,45.6267174253927,80.08716228450362,24.386058572966988
CapturedFrames_-2.0_1.5_-5.0,-2.0,1.5,-5.0,44.90394091568396,23.099677885405384,56.44354230020224,56.125695293975454,45.59236669882502,45.07694136806935,74.98022740061612,27.273260174132048
CapturedFrames_-2.0_1.5_-6.0,-2.0,1.5,-6.0,36.88355439806041,21.070222496122568,60.505631218215996,62.06019032368272,44.30096322449656,37.477404616858486,67.29036208254749,37.43646965862577
CapturedFrames_-2.0_1.5_3.0,-2.0,1.5,3.0,44.02168068623192,55.98946328238475,66.18956866244912,57.57894423741756,48.126936991496294,54.384511604275154,87.31094381571327,55.33925639418172
CapturedFrames_-2.0_1.5_4.0,-2.0,1.5,4.0,44.26517381195802,63.937053899845395,55.02940688645248,59.59581380455266,35.689053880798035,58.06070043369368,73.0880196406909,58.04978133381417
CapturedFrames_-2.0_1.5_5.0,-2.0,1.5,5.0,43.2223248727021,64.28487234395672,37.269944880213856,41.66904090981869,41.22887922131727,54.090870889945045,71.41406607087325,57.82842663569507
CapturedFrames_-2.0_1.5_6.0,-2.0,1.5,6.0,46.05123426757004,42.055718591691345,30.461592157086727,19.336087996118266,34.75299076400935,50.8447194371502,51.584307085512194,36.681213875775796
CapturedFrames_-3.0_0.5_-1.0,-3.0,0.5,-1.0,33.322947539008,21.002207155210044,42.766416298638404,64.55638923282525,99.12451073714377,55.17042671930666,60.13605005576906,95.98440774726211
CapturedFrames_-3.0_0.5_-2.0,-3.0,0.5,-2.0,35.652892446917974,17.11538276832269,50.565723813657186,68.61039808653199,118.17978315361688,54.3445748276715,57.08135573149018,46.07593068314205
CapturedFrames_-3.0_0.5_-3.0,-3.0,0.5,-3.0,29.02871705575967,17.337743641242355,56.59024195203146,61.63905131281321,93.92386862812515,44.47970259083719,58.657291029579326,51.806614477462205
CapturedFrames_-3.0_0.5_-4.0,-3.0,0.5,-4.0,36.2823477761725,11.143009874800498,51.84138234793282,60.44506818136274,59.00523909976698,43.8275696033163,59.70886223989352,44.73718060827238
