folder_name,camera_x,camera_y,camera_z,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
CapturedFrames_-3.0_1.5_-2.0,-3.0,1.5,-2.0,15.795933628775753,8.946269683586905,15.510489371366248,22.867863431642476,31.122415895144925,35.7618455488592,58.49319571195162,11.884882281745458
CapturedFrames_-3.0_1.5_-3.0,-3.0,1.5,-3.0,15.986573698609076,8.159796349996698,15.61163146423642,24.35296696177013,32.497387459927154,38.495993463821,57.20073025510972,12.666444116458608
CapturedFrames_-3.0_1.5_-4.0,-3.0,1.5,-4.0,15.87128132608883,8.190287920981277,15.983454510725453,23.458698287936272,32.76937796055348,37.07167524564437,57.48274480673668,13.532577506708478
CapturedFrames_-3.0_1.5_-5.0,-3.0,1.5,-5.0,18.399871187470495,5.537150594565092,15.994914042387105,25.95395437370264,34.47895592487095,34.30769886963982,59.80862480667665,11.962386364555352
CapturedFrames_-3.0_1.5_-6.0,-3.0,1.5,-6.0,20.638447061218734,9.762164870649537,18.125208132363607,20.948609853437496,41.66589818976342,34.532778014712804,57.532817363544254,12.40265804715833
CapturedFrames_-3.0_1.5_0.0,-3.0,1.5,0.0,11.822682755101377,16.54961127759661,14.494436248568466,17.661936915196446,31.445655633680225,37.38463855536383,51.2866986711375,13.736639091994098
CapturedFrames_-3.0_1.5_1.0,-3.0,1.5,1.0,12.569544721886874,27.235521873717232,15.564407245765036,17.5687214625735,32.252910139867836,41.823385918060445,42.79247065126719,21.415562256270935
CapturedFrames_-3.0_1.5_2.0,-3.0,1.5,2.0,14.981274596016872,33.50260071708779,17.361176006710767,15.56279948064041,30.594569310619082,42.23918868913196,41.27686650949372,25.417661889836936
CapturedFrames_-3.0_1.5_3.0,-3.0,1.5,3.0,13.184095032629877,33.8916132216232,14.762287964421708,18.868150121737724,30.896685993032527,43.270969431441536,39.02194963718032,26.070589939417076
CapturedFrames_-3.0_1.5_4.0,-3.0,1.5,4.0,16.07211268918059,32.0127296647509,14.826694311081258,18.117652680110456,28.337704493857014,43.583022602953626,33.64159721916437,25.90134485921078
CapturedFrames_-3.0_1.5_5.0,-3.0,1.5,5.0,14.935524715952683,28.305346553658826,17.533459695438438,17.96754551815343,29.78869212184482,42.65251666801031,31.65453277860605,30.2184758140957
CapturedFrames_-3.0_1.5_6.0,-3.0,1.5,6.0,31.035557108721104,29.110038239058593,12.88012771978226,12.086760909431677,28.038152341765272,40.49328752810071,34.00402066972865,18.833294533597407
CapturedFrames_-4.0_0.5_-1.0,-4.0,0.5,-1.0,13.783350108046145,17.695904534860297,14.67303866038824,20.849060227522806,39.05577624485923,41.96712346639876,38.90613186351,20.29087214901411
